,Lab_Chla,chla_pred
2018-07-06,1.8506462351830666,1.6617587136263035
2018-07-09,1.976258249257045,1.7726038019034172
2018-07-12,1.8048887446223913,1.865826120014391
2018-07-16,1.7735304721389142,1.7558869323285187
2018-07-17,1.5987905067631152,1.7041889729263067
2018-07-18,1.698709349442587,1.6765737851217515
2018-07-23,1.4771212547196624,1.6432591952182614
2018-07-24,1.6127838567197355,1.6312852878462276
2018-07-25,1.3096301674258988,1.577995783936739
2018-07-26,1.4649465138078757,1.5572691759757324
2018-07-30,1.5017437296279945,1.2898706693205841
2018-07-31,1.5440680443502757,1.3535247441720752
2018-08-03,1.4439416040389128,1.5087125210410317
2018-08-07,1.462397997898956,1.4848969325312003
2018-08-08,1.7323937598229686,1.5087125210410317
2018-08-09,1.5932860670204574,1.5345745514746283
